user_id,date,weekday,start_time,duration,category,category_id,location_name,location_category,my_place,location_id,place_id
2,7月17日,6,13:30,00:10,commute,17,,,,0,0
2,7月17日,6,13:40,00:40,food,1,悄悄好食永康店舖,Dessert shop,,5,0
2,7月17日,6,14:20,00:20,commute,17,,,,0,0
2,7月17日,6,14:40,03:00,shopping,12,TAIPEI 101,Shopping mall,,6,0
2,7月17日,6,17:40,00:20,commute,17,,,,0,0
2,7月17日,6,18:00,00:35,food,1,可不可熟成紅茶-大安信義店,Ice cream and drink shop,,10,0
2,7月17日,6,18:35,03:25,lesson,4,SK2 TOFEL,cramming school,,9,0
2,7月17日,6,22:00,00:20,commute,17,,,,0,0
2,7月17日,6,22:20,0,others,18,凱薩大飯店,hotel,,11,0
2,7月18日,7,01:00,09:00,sleep,3,凱薩大飯店,hotel,,11,0
2,7月18日,7,10:00,00:30,beauty,16,凱薩大飯店,hotel,,11,0
2,7月18日,7,10:30,00:30,commute,17,,,,0,0
2,7月18日,7,11:00,01:20,food,1,JIATE LIFE 中山店,Cafe,,4,0
2,7月18日,7,12:20,05:10,shopping,12,南西新光三越百貨,Shopping mall,,6,0
2,7月18日,7,17:30,01:05,food,1,螺絲瑪麗,Italian restaurant,,5,0
2,7月18日,7,18:35,00:25,commute,17,,,,0,0
2,7月18日,7,19:00,03:00,shopping,12,BELLAVITA,Department store,,6,0
2,7月18日,7,22:00,00:20,commute,17,,,,0,0
2,7月18日,7,22:20,0,others,18,凱薩大飯店,hotel,,11,0
2,7月19日,1,00:30,09:20,sleep,3,凱薩大飯店,hotel,,11,0
2,7月19日,1,09:50,00:40,beauty,16,凱薩大飯店,hotel,,11,0
2,7月19日,1,10:30,00:50,commute,17,,,,0,0
2,7月19日,1,11:20,00:40,shopping,12,ATT 4 Recharge,Department store,,6,0
2,7月19日,1,12:00,00:30,commute,17,,,,0,0
2,7月19日,1,12:30,02:00,food,1,泰滾,Hot pot restaurant,,5,0
2,7月19日,1,14:30,00:20,hangout,11,,,,0,0
2,7月19日,1,14:50,01:10,shopping,12,Sogo Fuxing Store,Department store,,6,0
2,7月19日,1,16:00,00:20,commute,17,,,,0,0
2,7月19日,1,16:20,00:40,food,1,Drip Cafe 好滴 站前店,Cafe,,4,0
2,7月19日,1,17:00,00:50,hangout,11,Taipei Station,Train station,,12,0
2,7月19日,1,17:50,00:40,commute,17,,,,0,0
2,7月19日,1,18:30,02:50,leisure,10,,,home,0,1
2,7月19日,1,21:20,01:40,work out,9,world gym,gym,,8,0
2,7月19日,1,23:00,00:10,commute,17,,,,0,0
2,7月19日,1,23:10,0,leisure,10,,,home,0,1
2,7月20日,2,00:40,08:30,sleep,3,,,home,0,1
2,7月20日,2,09:10,03:00,leisure,10,,,home,0,1
2,7月20日,2,12:10,00:50,commute,17,,,,0,0
2,7月20日,2,13:00,04:00,work,6,,,company,0,2
2,7月20日,2,17:00,00:50,commute,17,,,,0,0
2,7月20日,2,17:50,01:10,leisure,10,,,home,0,1
2,7月20日,2,19:00,00:30,commute,17,,,,0,0
2,7月20日,2,19:30,01:00,shopping,12,IKEA 敦北,Home goods store,,7,0
2,7月20日,2,20:30,00:30,food,1,春美冰?室,Dessert restaurant,,5,0
2,7月20日,2,21:00,00:40,commute,17,,,,0,0
2,7月20日,2,21:40,0,leisure,10,,,home,0,1
2,7月21日,3,00:00,09:00,sleep,3,,,home,0,1
2,7月21日,3,09:00,03:10,leisure,10,,,home,0,1
2,7月21日,3,12:10,00:50,commute,17,,,,0,0
2,7月21日,3,13:00,04:00,work,6,,,company,0,2
2,7月21日,3,17:00,00:40,commute,17,,,,0,0
2,7月21日,3,17:40,00:50,food,1,山嵐拉麵,Ramen restaurant,,5,0
2,7月21日,3,18:30,03:35,lesson,4,SK2 TOFEL,cramming school,,9,0
2,7月21日,3,22:05,00:40,commute,17,,,,0,0
2,7月21日,3,22:45,0,leisure,10,,,home,0,1
2,7月22日,4,01:00,08:40,sleep,3,,,home,0,1
2,7月22日,4,09:40,02:40,leisure,10,,,home,0,1
2,7月22日,4,12:20,00:40,commute,17,,,,0,0
2,7月22日,4,13:00,04:00,work,6,,,,0,0
2,7月22日,4,17:00,00:50,commute,17,,,,0,0
2,7月22日,4,17:50,00:20,leisure,10,,,home,0,1
2,7月22日,4,18:10,00:10,commute,17,,,,0,0
2,7月22日,4,18:20,00:30,food,1,爭鮮,Conveyor belt sushi restaurant,,5,0
2,7月22日,4,18:50,02:30,entertainment,8,美麗華,shopping mall,,6,0
2,7月22日,4,21:20,00:10,commute,17,,,,0,0
2,7月22日,4,21:30,00:10,leisure,10,,,home,0,1
2,7月22日,4,21:40,00:10,commute,17,,,,0,0
2,7月22日,4,21:50,00:50,work out,9,world gym,gym,,8,0
2,7月22日,4,22:40,00:10,commute,17,,,,0,0
2,7月22日,4,22:50,0,leisure,10,,,home,0,1
2,7月23日,5,01:00,08:00,sleep,3,,,home,0,1
2,7月23日,5,09:00,00:20,leisure,10,,,home,0,1
2,7月23日,5,09:20,00:10,commute,17,,,,0,0
2,7月23日,5,09:30,02:30,work,6,,,company,0,2
2,7月23日,5,12:00,00:20,commute,17,,,,0,0
2,7月23日,5,12:20,01:00,leisure,10,,,home,0,1
2,7月23日,5,13:20,00:40,commute,17,,,,0,0
2,7月23日,5,14:00,05:20,meeting,13,,,school,0,3
2,7月23日,5,19:20,01:20,food,1,小曼谷滇泰料理,Thai restaurant,,5,0
2,7月23日,5,20:40,00:50,commute,17,,,,0,0
2,7月23日,5,21:30,0,leisure,10,,,home,0,1
2,7月24日,6,01:00,09:00,sleep,3,,,home,0,1
2,7月24日,6,10:00,02:20,leisure,10,,,home,0,1
2,7月24日,6,12:20,00:40,commute,17,,,,0,0
2,7月24日,6,13:00,04:00,work,6,,,company,0,2
2,7月24日,6,17:00,00:40,commute,17,,,,0,0
2,7月24日,6,17:40,00:50,food,1,光復牛肉麵,Noodle shop,,5,0
2,7月24日,6,18:30,03:40,lesson,4,SK2 TOEFL,Cramming school,,9,0
2,7月24日,6,22:10,00:45,commute,17,,,,0,0
2,7月24日,6,22:55,0,leisure,10,,,home,0,1
2,7月25日,7,02:00,07:00,sleep,3,,,home,0,1
2,7月25日,7,09:00,00:20,leisure,10,,,home,0,1
2,7月25日,7,09:20,00:40,commute,17,,,,0,0
2,7月25日,7,10:00,03:00,hangout,11,悄悄好食杭州南店,Bakery,,4,0
2,7月25日,7,13:00,01:30,food,1,Syntrend,Shopping mall,,6,0
2,7月25日,7,14:30,01:00,commute,17,,,,0,0
2,7月25日,7,15:30,0,leisure,10,,,home,0,1
2,7月26日,1,00:30,09:30,sleep,3,,,home,0,1
2,7月26日,1,10:00,05:50,leisure,10,,,home,0,1
2,7月26日,1,15:50,00:40,commute,17,,,,0,0
